Køn,Alder,Dødsårsag,År,Antal
Mænd,0 år,Tuberkulose,1995,0
Mænd,0 år,Tuberkulose,1996,0
Mænd,0 år,Tuberkulose,1997,1
Mænd,0 år,Tuberkulose,1998,1
Mænd,0 år,Tuberkulose,1999,0
Mænd,0 år,Tuberkulose,2000,0
Mænd,0 år,Tuberkulose,2001,0
Mænd,0 år,Tuberkulose,2002,0
Mænd,0 år,Tuberkulose,2003,0
Mænd,0 år,Tuberkulose,2004,0
Mænd,0 år,Tuberkulose,2005,0
Mænd,0 år,Tuberkulose,2006,0
Mænd,0 år,Tuberkulose,2007,0
Mænd,0 år,Tuberkulose,2008,0
Mænd,0 år,Tuberkulose,2009,0
Mænd,0 år,Tuberkulose,2010,0
Mænd,0 år,Tuberkulose,2011,0
Mænd,0 år,Tuberkulose,2012,0
Mænd,0 år,Tuberkulose,2013,0
Mænd,0 år,Tuberkulose,2014,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1982,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1983,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1984,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1985,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1986,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1987,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1988,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1989,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1990,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1991,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1992,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1993,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1994,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1995,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1996,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1997,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1998,0
Mænd,0 år,Ondartet svulst i mund/spiserør,1999,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2000,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2001,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2002,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2003,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2004,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2005,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2006,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2007,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2008,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2009,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2010,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2011,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2012,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2013,0
Mænd,0 år,Ondartet svulst i mund/spiserør,2014,0
Mænd,0 år,Ondartet svulst i mavesæk,1982,0
Mænd,0 år,Ondartet svulst i mavesæk,1983,0
Mænd,0 år,Ondartet svulst i mavesæk,1984,0
Mænd,0 år,Ondartet svulst i mavesæk,1985,0
Mænd,0 år,Ondartet svulst i mavesæk,1986,0
Mænd,0 år,Ondartet svulst i mavesæk,1987,0
Mænd,0 år,Ondartet svulst i mavesæk,1988,0
Mænd,0 år,Ondartet svulst i mavesæk,1989,0
Mænd,0 år,Ondartet svulst i mavesæk,1990,0
Mænd,0 år,Ondartet svulst i mavesæk,1991,0
Mænd,0 år,Ondartet svulst i mavesæk,1992,0
Mænd,0 år,Ondartet svulst i mavesæk,1993,0
Mænd,0 år,Ondartet svulst i mavesæk,1994,0
Mænd,0 år,Ondartet svulst i mavesæk,1995,0
Mænd,0 år,Ondartet svulst i mavesæk,1996,0
Mænd,0 år,Ondartet svulst i mavesæk,1997,0
Mænd,0 år,Ondartet svulst i mavesæk,1998,0
Mænd,0 år,Ondartet svulst i mavesæk,1999,0
Mænd,0 år,Ondartet svulst i mavesæk,2000,0
Mænd,0 år,Ondartet svulst i mavesæk,2001,0
Mænd,0 år,Ondartet svulst i mavesæk,2002,0
Mænd,0 år,Ondartet svulst i mavesæk,2003,0
Mænd,0 år,Ondartet svulst i mavesæk,2004,0
Mænd,0 år,Ondartet svulst i mavesæk,2005,0
Mænd,0 år,Ondartet svulst i mavesæk,2006,0
Mænd,0 år,Ondartet svulst i mavesæk,2007,0
Mænd,0 år,Ondartet svulst i mavesæk,2008,0
Mænd,0 år,Ondartet svulst i mavesæk,2009,0
Mænd,0 år,Ondartet svulst i mavesæk,2010,0
Mænd,0 år,Ondartet svulst i mavesæk,2011,0
Mænd,0 år,Ondartet svulst i mavesæk,2012,0
Mænd,0 år,Ondartet svulst i mavesæk,2013,0
Mænd,0 år,Ondartet svulst i mavesæk,2014,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1982,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1983,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1984,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1985,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1986,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1987,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1988,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1989,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1990,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1991,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1992,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1993,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1994,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1995,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1996,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1997,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1998,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",1999,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2000,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2001,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2002,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2003,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2004,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2005,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2006,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2007,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2008,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2009,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2010,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2011,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2012,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2013,0
Mænd,0 år,"Ondartet svulst, tarme excl. endetarm",2014,0
Mænd,0 år,Ondartet svulst i endetarm,1982,0
Mænd,0 år,Ondartet svulst i endetarm,1983,0
Mænd,0 år,Ondartet svulst i endetarm,1984,0
Mænd,0 år,Ondartet svulst i endetarm,1985,0
Mænd,0 år,Ondartet svulst i endetarm,1986,0
Mænd,0 år,Ondartet svulst i endetarm,1987,0
Mænd,0 år,Ondartet svulst i endetarm,1988,0
Mænd,0 år,Ondartet svulst i endetarm,1989,0
Mænd,0 år,Ondartet svulst i endetarm,1990,0
Mænd,0 år,Ondartet svulst i endetarm,1991,0
Mænd,0 år,Ondartet svulst i endetarm,1992,0
Mænd,0 år,Ondartet svulst i endetarm,1993,0
Mænd,0 år,Ondartet svulst i endetarm,1994,0
Mænd,0 år,Ondartet svulst i endetarm,1995,0
Mænd,0 år,Ondartet svulst i endetarm,1996,0
Mænd,0 år,Ondartet svulst i endetarm,1997,0
Mænd,0 år,Ondartet svulst i endetarm,1998,0
Mænd,0 år,Ondartet svulst i endetarm,1999,0
Mænd,0 år,Ondartet svulst i endetarm,2000,0
Mænd,0 år,Ondartet svulst i endetarm,2001,0
Mænd,0 år,Ondartet svulst i endetarm,2002,0
Mænd,0 år,Ondartet svulst i endetarm,2003,0
Mænd,0 år,Ondartet svulst i endetarm,2004,0
Mænd,0 år,Ondartet svulst i endetarm,2005,0
Mænd,0 år,Ondartet svulst i endetarm,2006,0
Mænd,0 år,Ondartet svulst i endetarm,2007,0
Mænd,0 år,Ondartet svulst i endetarm,2008,0
Mænd,0 år,Ondartet svulst i endetarm,2009,0
Mænd,0 år,Ondartet svulst i endetarm,2010,0
Mænd,0 år,Ondartet svulst i endetarm,2011,0
Mænd,0 år,Ondartet svulst i endetarm,2012,0
Mænd,0 år,Ondartet svulst i endetarm,2013,0
Mænd,0 år,Ondartet svulst i endetarm,2014,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1982,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1983,1
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1984,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1985,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1986,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1987,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1988,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1989,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1990,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1991,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1992,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1993,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1994,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1995,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1996,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1997,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1998,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",1999,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2000,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2001,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2002,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2003,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2004,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2005,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2006,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2007,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2008,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2009,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2010,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2011,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2012,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2013,0
Mænd,0 år,"Ondartet svulst i strube, lunge, luftrør og bronkier",2014,0
Mænd,0 år,Ondartet svulst i knogler og hud,1982,0
Mænd,0 år,Ondartet svulst i knogler og hud,1983,0
Mænd,0 år,Ondartet svulst i knogler og hud,1984,0
Mænd,0 år,Ondartet svulst i knogler og hud,1985,0
Mænd,0 år,Ondartet svulst i knogler og hud,1986,0
Mænd,0 år,Ondartet svulst i knogler og hud,1987,0
Mænd,0 år,Ondartet svulst i knogler og hud,1988,0
Mænd,0 år,Ondartet svulst i knogler og hud,1989,0
Mænd,0 år,Ondartet svulst i knogler og hud,1990,0
Mænd,0 år,Ondartet svulst i knogler og hud,1991,0
Mænd,0 år,Ondartet svulst i knogler og hud,1992,0
Mænd,0 år,Ondartet svulst i knogler og hud,1993,0
Mænd,0 år,Ondartet svulst i knogler og hud,1994,0
Mænd,0 år,Ondartet svulst i knogler og hud,1995,0
Mænd,0 år,Ondartet svulst i knogler og hud,1996,0
Mænd,0 år,Ondartet svulst i knogler og hud,1997,0
Mænd,0 år,Ondartet svulst i knogler og hud,1998,0
Mænd,0 år,Ondartet svulst i knogler og hud,1999,0
Mænd,0 år,Ondartet svulst i knogler og hud,2000,0
Mænd,0 år,Ondartet svulst i knogler og hud,2001,0
Mænd,0 år,Ondartet svulst i knogler og hud,2002,0
Mænd,0 år,Ondartet svulst i knogler og hud,2003,0
Mænd,0 år,Ondartet svulst i knogler og hud,2004,0
Mænd,0 år,Ondartet svulst i knogler og hud,2005,0
Mænd,0 år,Ondartet svulst i knogler og hud,2006,0
Mænd,0 år,Ondartet svulst i knogler og hud,2007,0
Mænd,0 år,Ondartet svulst i knogler og hud,2008,0
Mænd,0 år,Ondartet svulst i knogler og hud,2009,0
Mænd,0 år,Ondartet svulst i knogler og hud,2010,0
Mænd,0 år,Ondartet svulst i knogler og hud,2011,0
Mænd,0 år,Ondartet svulst i knogler og hud,2012,0
Mænd,0 år,Ondartet svulst i knogler og hud,2013,0
Mænd,0 år,Ondartet svulst i knogler og hud,2014,0
Mænd,0 år,Ondartet svulst i brystkirtel,1982,0
Mænd,0 år,Ondartet svulst i brystkirtel,1983,0
Mænd,0 år,Ondartet svulst i brystkirtel,1984,0
Mænd,0 år,Ondartet svulst i brystkirtel,1985,0
Mænd,0 år,Ondartet svulst i brystkirtel,1986,0
Mænd,0 år,Ondartet svulst i brystkirtel,1987,0
Mænd,0 år,Ondartet svulst i brystkirtel,1988,0
Mænd,0 år,Ondartet svulst i brystkirtel,1989,0
Mænd,0 år,Ondartet svulst i brystkirtel,1990,0
Mænd,0 år,Ondartet svulst i brystkirtel,1991,0
Mænd,0 år,Ondartet svulst i brystkirtel,1992,0
Mænd,0 år,Ondartet svulst i brystkirtel,1993,0
Mænd,0 år,Ondartet svulst i brystkirtel,1994,0
Mænd,0 år,Ondartet svulst i brystkirtel,1995,0
Mænd,0 år,Ondartet svulst i brystkirtel,1996,0
Mænd,0 år,Ondartet svulst i brystkirtel,1997,0
Mænd,0 år,Ondartet svulst i brystkirtel,1998,0
Mænd,0 år,Ondartet svulst i brystkirtel,1999,0
Mænd,0 år,Ondartet svulst i brystkirtel,2000,0
Mænd,0 år,Ondartet svulst i brystkirtel,2001,0
Mænd,0 år,Ondartet svulst i brystkirtel,2002,0
Mænd,0 år,Ondartet svulst i brystkirtel,2003,0
Mænd,0 år,Ondartet svulst i brystkirtel,2004,0
Mænd,0 år,Ondartet svulst i brystkirtel,2005,0
Mænd,0 år,Ondartet svulst i brystkirtel,2006,0
Mænd,0 år,Ondartet svulst i brystkirtel,2007,0
Mænd,0 år,Ondartet svulst i brystkirtel,2008,0
Mænd,0 år,Ondartet svulst i brystkirtel,2009,0
Mænd,0 år,Ondartet svulst i brystkirtel,2010,0
Mænd,0 år,Ondartet svulst i brystkirtel,2011,0
Mænd,0 år,Ondartet svulst i brystkirtel,2012,0
Mænd,0 år,Ondartet svulst i brystkirtel,2013,0
Mænd,0 år,Ondartet svulst i brystkirtel,2014,0
Mænd,0 år,Ondartet svulst i livmoderhals,1982,0
Mænd,0 år,Ondartet svulst i livmoderhals,1983,0
Mænd,0 år,Ondartet svulst i livmoderhals,1984,0
Mænd,0 år,Ondartet svulst i livmoderhals,1985,0
Mænd,0 år,Ondartet svulst i livmoderhals,1986,0
Mænd,0 år,Ondartet svulst i livmoderhals,1987,0
Mænd,0 år,Ondartet svulst i livmoderhals,1988,0
Mænd,0 år,Ondartet svulst i livmoderhals,1989,0
Mænd,0 år,Ondartet svulst i livmoderhals,1990,0
Mænd,0 år,Ondartet svulst i livmoderhals,1991,0
Mænd,0 år,Ondartet svulst i livmoderhals,1992,0
Mænd,0 år,Ondartet svulst i livmoderhals,1993,0
Mænd,0 år,Ondartet svulst i livmoderhals,1994,0
Mænd,0 år,Ondartet svulst i livmoderhals,1995,0
Mænd,0 år,Ondartet svulst i livmoderhals,1996,0
Mænd,0 år,Ondartet svulst i livmoderhals,1997,0
Mænd,0 år,Ondartet svulst i livmoderhals,1998,0
Mænd,0 år,Ondartet svulst i livmoderhals,1999,0
Mænd,0 år,Ondartet svulst i livmoderhals,2000,0
Mænd,0 år,Ondartet svulst i livmoderhals,2001,0
Mænd,0 år,Ondartet svulst i livmoderhals,2002,0
Mænd,0 år,Ondartet svulst i livmoderhals,2003,0
Mænd,0 år,Ondartet svulst i livmoderhals,2004,0
Mænd,0 år,Ondartet svulst i livmoderhals,2005,0
Mænd,0 år,Ondartet svulst i livmoderhals,2006,0
Mænd,0 år,Ondartet svulst i livmoderhals,2007,0
Mænd,0 år,Ondartet svulst i livmoderhals,2008,0
Mænd,0 år,Ondartet svulst i livmoderhals,2009,0
Mænd,0 år,Ondartet svulst i livmoderhals,2010,0
Mænd,0 år,Ondartet svulst i livmoderhals,2011,0
Mænd,0 år,Ondartet svulst i livmoderhals,2012,0
Mænd,0 år,Ondartet svulst i livmoderhals,2013,0
Mænd,0 år,Ondartet svulst i livmoderhals,2014,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1982,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1983,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1984,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1985,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1986,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1987,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1988,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1989,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1990,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1991,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1992,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1993,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1994,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1995,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1996,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1997,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1998,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,1999,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2000,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2001,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2002,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2003,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2004,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2005,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2006,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2007,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2008,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2009,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2010,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2011,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2012,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2013,0
Mænd,0 år,Ondartet svulst i livmoder i øvrigt,2014,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1982,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1983,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1984,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1985,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1986,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1987,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1988,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1989,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1990,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1991,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1992,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1993,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1994,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1995,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1996,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1997,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1998,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,1999,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2000,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2001,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2002,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2003,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2004,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2005,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2006,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2007,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2008,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2009,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2010,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2011,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2012,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2013,0
Mænd,0 år,Ondartet svulst i blærehalskirtel,2014,0
Mænd,0 år,Ondartet svulst i anden lokalisation,1982,2
Mænd,0 år,Ondartet svulst i anden lokalisation,1983,1
Mænd,0 år,Ondartet svulst i anden lokalisation,1984,1
Mænd,0 år,Ondartet svulst i anden lokalisation,1985,0
Mænd,0 år,Ondartet svulst i anden lokalisation,1986,1
Mænd,0 år,Ondartet svulst i anden lokalisation,1987,1
Mænd,0 år,Ondartet svulst i anden lokalisation,1988,1
Mænd,0 år,Ondartet svulst i anden lokalisation,1989,2
Mænd,0 år,Ondartet svulst i anden lokalisation,1990,1
Mænd,0 år,Ondartet svulst i anden lokalisation,1991,1
Mænd,0 år,Ondartet svulst i anden lokalisation,1992,0
Mænd,0 år,Ondartet svulst i anden lokalisation,1993,1
Mænd,0 år,Ondartet svulst i anden lokalisation,1994,1
Mænd,0 år,Ondartet svulst i anden lokalisation,1995,2
Mænd,0 år,Ondartet svulst i anden lokalisation,1996,0
Mænd,0 år,Ondartet svulst i anden lokalisation,1997,1
Mænd,0 år,Ondartet svulst i anden lokalisation,1998,2
Mænd,0 år,Ondartet svulst i anden lokalisation,1999,1
Mænd,0 år,Ondartet svulst i anden lokalisation,2000,1
Mænd,0 år,Ondartet svulst i anden lokalisation,2001,0
Mænd,0 år,Ondartet svulst i anden lokalisation,2002,0
Mænd,0 år,Ondartet svulst i anden lokalisation,2003,0
Mænd,0 år,Ondartet svulst i anden lokalisation,2004,0
Mænd,0 år,Ondartet svulst i anden lokalisation,2005,1
Mænd,0 år,Ondartet svulst i anden lokalisation,2006,0
Mænd,0 år,Ondartet svulst i anden lokalisation,2007,3
Mænd,0 år,Ondartet svulst i anden lokalisation,2008,0
Mænd,0 år,Ondartet svulst i anden lokalisation,2009,0
Mænd,0 år,Ondartet svulst i anden lokalisation,2010,1
Mænd,0 år,Ondartet svulst i anden lokalisation,2011,1
Mænd,0 år,Ondartet svulst i anden lokalisation,2012,1
Mænd,0 år,Ondartet svulst i anden lokalisation,2013,1
Mænd,0 år,Ondartet svulst i anden lokalisation,2014,0
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1982,0
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1983,1
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1984,0
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1985,0
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1986,0
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1987,0
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1988,1
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1989,1
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1990,1
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1991,0
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1992,0
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1993,1
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1994,1
Mænd,0 år,Ondartet svulst i  lymfatisk/bloddannende væv,1995,0
