Køn;Beskæftigelsesstatus;Alder;År;Kvartal;Procent
Mænd;Beskæftigelsesfrekvens;15-24 år;2008;3;68,2
Mænd;Beskæftigelsesfrekvens;15-24 år;2008;4;67,5
Mænd;Beskæftigelsesfrekvens;15-24 år;2009;1;65,2
Mænd;Beskæftigelsesfrekvens;15-24 år;2009;2;64,1
Mænd;Beskæftigelsesfrekvens;15-24 år;2009;3;63,2
Mænd;Beskæftigelsesfrekvens;15-24 år;2009;4;57,3
Mænd;Beskæftigelsesfrekvens;15-24 år;2010;1;56,1
Mænd;Beskæftigelsesfrekvens;15-24 år;2010;2;59,1
Mænd;Beskæftigelsesfrekvens;15-24 år;2010;3;56,2
Mænd;Beskæftigelsesfrekvens;15-24 år;2010;4;56,1
Mænd;Beskæftigelsesfrekvens;15-24 år;2011;1;56,6
Mænd;Beskæftigelsesfrekvens;15-24 år;2011;2;56,7
Mænd;Beskæftigelsesfrekvens;15-24 år;2011;3;57,1
Mænd;Beskæftigelsesfrekvens;15-24 år;2011;4;56,7
Mænd;Beskæftigelsesfrekvens;15-24 år;2012;1;53,7
Mænd;Beskæftigelsesfrekvens;15-24 år;2012;2;56,2
Mænd;Beskæftigelsesfrekvens;15-24 år;2012;3;54,8
Mænd;Beskæftigelsesfrekvens;15-24 år;2012;4;54,6
Mænd;Beskæftigelsesfrekvens;15-24 år;2013;1;52,8
Mænd;Beskæftigelsesfrekvens;15-24 år;2013;2;53,6
Mænd;Beskæftigelsesfrekvens;15-24 år;2013;3;51,8
Mænd;Beskæftigelsesfrekvens;15-24 år;2013;4;51,9
Mænd;Beskæftigelsesfrekvens;15-24 år;2014;1;50,7
Mænd;Beskæftigelsesfrekvens;15-24 år;2014;2;51,7
Mænd;Beskæftigelsesfrekvens;15-24 år;2014;3;54,2
Mænd;Beskæftigelsesfrekvens;15-24 år;2014;4;54,6
Mænd;Beskæftigelsesfrekvens;15-24 år;2015;1;53,3
Mænd;Beskæftigelsesfrekvens;15-24 år;2015;2;54,2
Mænd;Beskæftigelsesfrekvens;15-24 år;2015;3;55,2
Mænd;Beskæftigelsesfrekvens;25-34 år;1996;1;86
Mænd;Beskæftigelsesfrekvens;25-34 år;1996;2;88,5
Mænd;Beskæftigelsesfrekvens;25-34 år;1996;3;85,8
Mænd;Beskæftigelsesfrekvens;25-34 år;1996;4;87,5
Mænd;Beskæftigelsesfrekvens;25-34 år;1997;1;86,6
Mænd;Beskæftigelsesfrekvens;25-34 år;1997;2;89,3
Mænd;Beskæftigelsesfrekvens;25-34 år;1997;3;87,7
Mænd;Beskæftigelsesfrekvens;25-34 år;1997;4;89,8
Mænd;Beskæftigelsesfrekvens;25-34 år;1998;1;87,9
Mænd;Beskæftigelsesfrekvens;25-34 år;1998;2;88,9
Mænd;Beskæftigelsesfrekvens;25-34 år;1998;3;89,8
Mænd;Beskæftigelsesfrekvens;25-34 år;1998;4;89,1
Mænd;Beskæftigelsesfrekvens;25-34 år;1999;1;89,6
Mænd;Beskæftigelsesfrekvens;25-34 år;1999;2;89,6
Mænd;Beskæftigelsesfrekvens;25-34 år;1999;3;91
Mænd;Beskæftigelsesfrekvens;25-34 år;1999;4;90,9
Mænd;Beskæftigelsesfrekvens;25-34 år;2000;1;87,5
Mænd;Beskæftigelsesfrekvens;25-34 år;2000;2;88,6
Mænd;Beskæftigelsesfrekvens;25-34 år;2000;3;88,4
Mænd;Beskæftigelsesfrekvens;25-34 år;2000;4;89,3
Mænd;Beskæftigelsesfrekvens;25-34 år;2001;1;86,6
Mænd;Beskæftigelsesfrekvens;25-34 år;2001;2;88,8
Mænd;Beskæftigelsesfrekvens;25-34 år;2001;3;87,2
Mænd;Beskæftigelsesfrekvens;25-34 år;2001;4;84,4
Mænd;Beskæftigelsesfrekvens;25-34 år;2002;1;85,1
Mænd;Beskæftigelsesfrekvens;25-34 år;2002;2;89,8
Mænd;Beskæftigelsesfrekvens;25-34 år;2002;3;88,2
Mænd;Beskæftigelsesfrekvens;25-34 år;2002;4;87,9
Mænd;Beskæftigelsesfrekvens;25-34 år;2003;1;86,8
Mænd;Beskæftigelsesfrekvens;25-34 år;2003;2;86,1
Mænd;Beskæftigelsesfrekvens;25-34 år;2003;3;88,2
Mænd;Beskæftigelsesfrekvens;25-34 år;2003;4;87,7
Mænd;Beskæftigelsesfrekvens;25-34 år;2004;1;83
Mænd;Beskæftigelsesfrekvens;25-34 år;2004;2;84,5
Mænd;Beskæftigelsesfrekvens;25-34 år;2004;3;83,8
Mænd;Beskæftigelsesfrekvens;25-34 år;2004;4;87,7
Mænd;Beskæftigelsesfrekvens;25-34 år;2005;1;84,6
Mænd;Beskæftigelsesfrekvens;25-34 år;2005;2;85,1
Mænd;Beskæftigelsesfrekvens;25-34 år;2005;3;88,5
Mænd;Beskæftigelsesfrekvens;25-34 år;2005;4;87,4
Mænd;Beskæftigelsesfrekvens;25-34 år;2006;1;89,1
Mænd;Beskæftigelsesfrekvens;25-34 år;2006;2;87,5
Mænd;Beskæftigelsesfrekvens;25-34 år;2006;3;89,2
Mænd;Beskæftigelsesfrekvens;25-34 år;2006;4;90,8
Mænd;Beskæftigelsesfrekvens;25-34 år;2007;1;88,7
Mænd;Beskæftigelsesfrekvens;25-34 år;2007;2;90,1
Mænd;Beskæftigelsesfrekvens;25-34 år;2007;3;88,7
Mænd;Beskæftigelsesfrekvens;25-34 år;2007;4;88,4
Mænd;Beskæftigelsesfrekvens;25-34 år;2008;1;87,5
Mænd;Beskæftigelsesfrekvens;25-34 år;2008;2;90,6
Mænd;Beskæftigelsesfrekvens;25-34 år;2008;3;92,1
Mænd;Beskæftigelsesfrekvens;25-34 år;2008;4;87,7
Mænd;Beskæftigelsesfrekvens;25-34 år;2009;1;86,3
Mænd;Beskæftigelsesfrekvens;25-34 år;2009;2;83,7
Mænd;Beskæftigelsesfrekvens;25-34 år;2009;3;84,1
Mænd;Beskæftigelsesfrekvens;25-34 år;2009;4;82,3
Mænd;Beskæftigelsesfrekvens;25-34 år;2010;1;79,8
Mænd;Beskæftigelsesfrekvens;25-34 år;2010;2;80,1
Mænd;Beskæftigelsesfrekvens;25-34 år;2010;3;83,4
Mænd;Beskæftigelsesfrekvens;25-34 år;2010;4;82,4
Mænd;Beskæftigelsesfrekvens;25-34 år;2011;1;78,6
Mænd;Beskæftigelsesfrekvens;25-34 år;2011;2;81,3
Mænd;Beskæftigelsesfrekvens;25-34 år;2011;3;83,9
Mænd;Beskæftigelsesfrekvens;25-34 år;2011;4;81,3
Mænd;Beskæftigelsesfrekvens;25-34 år;2012;1;80,7
Mænd;Beskæftigelsesfrekvens;25-34 år;2012;2;80,1
Mænd;Beskæftigelsesfrekvens;25-34 år;2012;3;80,5
Mænd;Beskæftigelsesfrekvens;25-34 år;2012;4;79,8
Mænd;Beskæftigelsesfrekvens;25-34 år;2013;1;81,7
Mænd;Beskæftigelsesfrekvens;25-34 år;2013;2;83
Mænd;Beskæftigelsesfrekvens;25-34 år;2013;3;81,2
Mænd;Beskæftigelsesfrekvens;25-34 år;2013;4;81,7
Mænd;Beskæftigelsesfrekvens;25-34 år;2014;1;78,3
Mænd;Beskæftigelsesfrekvens;25-34 år;2014;2;81,9
Mænd;Beskæftigelsesfrekvens;25-34 år;2014;3;82,5
Mænd;Beskæftigelsesfrekvens;25-34 år;2014;4;79,4
Mænd;Beskæftigelsesfrekvens;25-34 år;2015;1;79,3
Mænd;Beskæftigelsesfrekvens;25-34 år;2015;2;81,8
Mænd;Beskæftigelsesfrekvens;25-34 år;2015;3;82,3
Mænd;Beskæftigelsesfrekvens;35-44 år;1996;1;89,4
Mænd;Beskæftigelsesfrekvens;35-44 år;1996;2;91
Mænd;Beskæftigelsesfrekvens;35-44 år;1996;3;91,3
Mænd;Beskæftigelsesfrekvens;35-44 år;1996;4;89
Mænd;Beskæftigelsesfrekvens;35-44 år;1997;1;87,7
Mænd;Beskæftigelsesfrekvens;35-44 år;1997;2;90
Mænd;Beskæftigelsesfrekvens;35-44 år;1997;3;90,5
Mænd;Beskæftigelsesfrekvens;35-44 år;1997;4;90,4
Mænd;Beskæftigelsesfrekvens;35-44 år;1998;1;89
Mænd;Beskæftigelsesfrekvens;35-44 år;1998;2;90,8
Mænd;Beskæftigelsesfrekvens;35-44 år;1998;3;88,8
Mænd;Beskæftigelsesfrekvens;35-44 år;1998;4;89,3
Mænd;Beskæftigelsesfrekvens;35-44 år;1999;1;88,4
Mænd;Beskæftigelsesfrekvens;35-44 år;1999;2;91,9
Mænd;Beskæftigelsesfrekvens;35-44 år;1999;3;90,5
Mænd;Beskæftigelsesfrekvens;35-44 år;1999;4;89,5
Mænd;Beskæftigelsesfrekvens;35-44 år;2000;1;88,2
Mænd;Beskæftigelsesfrekvens;35-44 år;2000;2;90,3
Mænd;Beskæftigelsesfrekvens;35-44 år;2000;3;91,7
Mænd;Beskæftigelsesfrekvens;35-44 år;2000;4;89,3
Mænd;Beskæftigelsesfrekvens;35-44 år;2001;1;88,1
Mænd;Beskæftigelsesfrekvens;35-44 år;2001;2;90,2
Mænd;Beskæftigelsesfrekvens;35-44 år;2001;3;90,6
Mænd;Beskæftigelsesfrekvens;35-44 år;2001;4;91,4
Mænd;Beskæftigelsesfrekvens;35-44 år;2002;1;88,9
Mænd;Beskæftigelsesfrekvens;35-44 år;2002;2;89,7
Mænd;Beskæftigelsesfrekvens;35-44 år;2002;3;88,9
Mænd;Beskæftigelsesfrekvens;35-44 år;2002;4;90,3
Mænd;Beskæftigelsesfrekvens;35-44 år;2003;1;88,5
Mænd;Beskæftigelsesfrekvens;35-44 år;2003;2;89,5
Mænd;Beskæftigelsesfrekvens;35-44 år;2003;3;89,2
Mænd;Beskæftigelsesfrekvens;35-44 år;2003;4;90,2
Mænd;Beskæftigelsesfrekvens;35-44 år;2004;1;90,3
Mænd;Beskæftigelsesfrekvens;35-44 år;2004;2;90,1
Mænd;Beskæftigelsesfrekvens;35-44 år;2004;3;89,4
Mænd;Beskæftigelsesfrekvens;35-44 år;2004;4;91,1
Mænd;Beskæftigelsesfrekvens;35-44 år;2005;1;88,6
Mænd;Beskæftigelsesfrekvens;35-44 år;2005;2;90,2
Mænd;Beskæftigelsesfrekvens;35-44 år;2005;3;89,3
Mænd;Beskæftigelsesfrekvens;35-44 år;2005;4;92,4
Mænd;Beskæftigelsesfrekvens;35-44 år;2006;1;90,8
Mænd;Beskæftigelsesfrekvens;35-44 år;2006;2;91,2
Mænd;Beskæftigelsesfrekvens;35-44 år;2006;3;92,3
Mænd;Beskæftigelsesfrekvens;35-44 år;2006;4;92,7
Mænd;Beskæftigelsesfrekvens;35-44 år;2007;1;91
Mænd;Beskæftigelsesfrekvens;35-44 år;2007;2;91,5
Mænd;Beskæftigelsesfrekvens;35-44 år;2007;3;91
Mænd;Beskæftigelsesfrekvens;35-44 år;2007;4;93
Mænd;Beskæftigelsesfrekvens;35-44 år;2008;1;92,5
Mænd;Beskæftigelsesfrekvens;35-44 år;2008;2;92,2
Mænd;Beskæftigelsesfrekvens;35-44 år;2008;3;92,9
Mænd;Beskæftigelsesfrekvens;35-44 år;2008;4;92,4
Mænd;Beskæftigelsesfrekvens;35-44 år;2009;1;90,1
Mænd;Beskæftigelsesfrekvens;35-44 år;2009;2;89,7
Mænd;Beskæftigelsesfrekvens;35-44 år;2009;3;88,3
Mænd;Beskæftigelsesfrekvens;35-44 år;2009;4;88,2
Mænd;Beskæftigelsesfrekvens;35-44 år;2010;1;88,2
Mænd;Beskæftigelsesfrekvens;35-44 år;2010;2;87,7
Mænd;Beskæftigelsesfrekvens;35-44 år;2010;3;88,2
Mænd;Beskæftigelsesfrekvens;35-44 år;2010;4;88,9
Mænd;Beskæftigelsesfrekvens;35-44 år;2011;1;87,3
Mænd;Beskæftigelsesfrekvens;35-44 år;2011;2;89,2
Mænd;Beskæftigelsesfrekvens;35-44 år;2011;3;90,5
Mænd;Beskæftigelsesfrekvens;35-44 år;2011;4;89,8
Mænd;Beskæftigelsesfrekvens;35-44 år;2012;1;87,4
Mænd;Beskæftigelsesfrekvens;35-44 år;2012;2;86,6
Mænd;Beskæftigelsesfrekvens;35-44 år;2012;3;87,3
Mænd;Beskæftigelsesfrekvens;35-44 år;2012;4;87,1
Mænd;Beskæftigelsesfrekvens;35-44 år;2013;1;88,7
Mænd;Beskæftigelsesfrekvens;35-44 år;2013;2;88,3
Mænd;Beskæftigelsesfrekvens;35-44 år;2013;3;87,5
Mænd;Beskæftigelsesfrekvens;35-44 år;2013;4;87,5
Mænd;Beskæftigelsesfrekvens;35-44 år;2014;1;88,6
Mænd;Beskæftigelsesfrekvens;35-44 år;2014;2;90
Mænd;Beskæftigelsesfrekvens;35-44 år;2014;3;90,1
Mænd;Beskæftigelsesfrekvens;35-44 år;2014;4;88,5
Mænd;Beskæftigelsesfrekvens;35-44 år;2015;1;88,4
Mænd;Beskæftigelsesfrekvens;35-44 år;2015;2;90,4
Mænd;Beskæftigelsesfrekvens;35-44 år;2015;3;88,2
Mænd;Beskæftigelsesfrekvens;45-54 år;1996;1;84,5
Mænd;Beskæftigelsesfrekvens;45-54 år;1996;2;85,8
Mænd;Beskæftigelsesfrekvens;45-54 år;1996;3;84,1
Mænd;Beskæftigelsesfrekvens;45-54 år;1996;4;85,8
Mænd;Beskæftigelsesfrekvens;45-54 år;1997;1;85,1
Mænd;Beskæftigelsesfrekvens;45-54 år;1997;2;87,1
Mænd;Beskæftigelsesfrekvens;45-54 år;1997;3;87,1
Mænd;Beskæftigelsesfrekvens;45-54 år;1997;4;86,8
Mænd;Beskæftigelsesfrekvens;45-54 år;1998;1;87
Mænd;Beskæftigelsesfrekvens;45-54 år;1998;2;87
Mænd;Beskæftigelsesfrekvens;45-54 år;1998;3;86
Mænd;Beskæftigelsesfrekvens;45-54 år;1998;4;87,7
Mænd;Beskæftigelsesfrekvens;45-54 år;1999;1;85,1
Mænd;Beskæftigelsesfrekvens;45-54 år;1999;2;86
Mænd;Beskæftigelsesfrekvens;45-54 år;1999;3;85,7
Mænd;Beskæftigelsesfrekvens;45-54 år;1999;4;85,5
Mænd;Beskæftigelsesfrekvens;45-54 år;2000;1;85,1
Mænd;Beskæftigelsesfrekvens;45-54 år;2000;2;86
Mænd;Beskæftigelsesfrekvens;45-54 år;2000;3;88,3
Mænd;Beskæftigelsesfrekvens;45-54 år;2000;4;88,6
Mænd;Beskæftigelsesfrekvens;45-54 år;2001;1;85,8
Mænd;Beskæftigelsesfrekvens;45-54 år;2001;2;87,2
Mænd;Beskæftigelsesfrekvens;45-54 år;2001;3;87,9
Mænd;Beskæftigelsesfrekvens;45-54 år;2001;4;88,7
Mænd;Beskæftigelsesfrekvens;45-54 år;2002;1;85,7
Mænd;Beskæftigelsesfrekvens;45-54 år;2002;2;86,5
Mænd;Beskæftigelsesfrekvens;45-54 år;2002;3;88,9
Mænd;Beskæftigelsesfrekvens;45-54 år;2002;4;89,3
Mænd;Beskæftigelsesfrekvens;45-54 år;2003;1;87,1
Mænd;Beskæftigelsesfrekvens;45-54 år;2003;2;87,8
Mænd;Beskæftigelsesfrekvens;45-54 år;2003;3;85,8
Mænd;Beskæftigelsesfrekvens;45-54 år;2003;4;85,9
Mænd;Beskæftigelsesfrekvens;45-54 år;2004;1;87,4
Mænd;Beskæftigelsesfrekvens;45-54 år;2004;2;87,2
Mænd;Beskæftigelsesfrekvens;45-54 år;2004;3;88
Mænd;Beskæftigelsesfrekvens;45-54 år;2004;4;86,9
Mænd;Beskæftigelsesfrekvens;45-54 år;2005;1;86,8
Mænd;Beskæftigelsesfrekvens;45-54 år;2005;2;87,5
Mænd;Beskæftigelsesfrekvens;45-54 år;2005;3;89,2
Mænd;Beskæftigelsesfrekvens;45-54 år;2005;4;89,5
Mænd;Beskæftigelsesfrekvens;45-54 år;2006;1;87,8
Mænd;Beskæftigelsesfrekvens;45-54 år;2006;2;88,6
Mænd;Beskæftigelsesfrekvens;45-54 år;2006;3;89,4
Mænd;Beskæftigelsesfrekvens;45-54 år;2006;4;90
Mænd;Beskæftigelsesfrekvens;45-54 år;2007;1;87,8
Mænd;Beskæftigelsesfrekvens;45-54 år;2007;2;88,1
Mænd;Beskæftigelsesfrekvens;45-54 år;2007;3;89,8
Mænd;Beskæftigelsesfrekvens;45-54 år;2007;4;88,7
Mænd;Beskæftigelsesfrekvens;45-54 år;2008;1;88,9
Mænd;Beskæftigelsesfrekvens;45-54 år;2008;2;91,1
Mænd;Beskæftigelsesfrekvens;45-54 år;2008;3;92,4
Mænd;Beskæftigelsesfrekvens;45-54 år;2008;4;90,1
Mænd;Beskæftigelsesfrekvens;45-54 år;2009;1;87
Mænd;Beskæftigelsesfrekvens;45-54 år;2009;2;86,6
Mænd;Beskæftigelsesfrekvens;45-54 år;2009;3;87,5
Mænd;Beskæftigelsesfrekvens;45-54 år;2009;4;86,8
Mænd;Beskæftigelsesfrekvens;45-54 år;2010;1;85,3
Mænd;Beskæftigelsesfrekvens;45-54 år;2010;2;84,8
Mænd;Beskæftigelsesfrekvens;45-54 år;2010;3;85,5
Mænd;Beskæftigelsesfrekvens;45-54 år;2010;4;87,1
Mænd;Beskæftigelsesfrekvens;45-54 år;2011;1;88
Mænd;Beskæftigelsesfrekvens;45-54 år;2011;2;86,2
Mænd;Beskæftigelsesfrekvens;45-54 år;2011;3;84,4
Mænd;Beskæftigelsesfrekvens;45-54 år;2011;4;85,2
Mænd;Beskæftigelsesfrekvens;45-54 år;2012;1;85,4
Mænd;Beskæftigelsesfrekvens;45-54 år;2012;2;85,1
Mænd;Beskæftigelsesfrekvens;45-54 år;2012;3;86,1
Mænd;Beskæftigelsesfrekvens;45-54 år;2012;4;86,6
Mænd;Beskæftigelsesfrekvens;45-54 år;2013;1;84
Mænd;Beskæftigelsesfrekvens;45-54 år;2013;2;84,4
Mænd;Beskæftigelsesfrekvens;45-54 år;2013;3;85,3
Mænd;Beskæftigelsesfrekvens;45-54 år;2013;4;85
Mænd;Beskæftigelsesfrekvens;45-54 år;2014;1;85,1
Mænd;Beskæftigelsesfrekvens;45-54 år;2014;2;85,6
Mænd;Beskæftigelsesfrekvens;45-54 år;2014;3;86
Mænd;Beskæftigelsesfrekvens;45-54 år;2014;4;87,1
Mænd;Beskæftigelsesfrekvens;45-54 år;2015;1;85,9
Mænd;Beskæftigelsesfrekvens;45-54 år;2015;2;85,1
Mænd;Beskæftigelsesfrekvens;45-54 år;2015;3;88,6
Mænd;Beskæftigelsesfrekvens;55-64 år;1996;1;58,2
Mænd;Beskæftigelsesfrekvens;55-64 år;1996;2;57,7
Mænd;Beskæftigelsesfrekvens;55-64 år;1996;3;60,9
Mænd;Beskæftigelsesfrekvens;55-64 år;1996;4;60,8
Mænd;Beskæftigelsesfrekvens;55-64 år;1997;1;58,5
Mænd;Beskæftigelsesfrekvens;55-64 år;1997;2;58,1
Mænd;Beskæftigelsesfrekvens;55-64 år;1997;3;59
Mænd;Beskæftigelsesfrekvens;55-64 år;1997;4;60,9
Mænd;Beskæftigelsesfrekvens;55-64 år;1998;1;60,6
Mænd;Beskæftigelsesfrekvens;55-64 år;1998;2;56,3
Mænd;Beskæftigelsesfrekvens;55-64 år;1998;3;60,1
Mænd;Beskæftigelsesfrekvens;55-64 år;1998;4;64
Mænd;Beskæftigelsesfrekvens;55-64 år;1999;1;61,9
Mænd;Beskæftigelsesfrekvens;55-64 år;1999;2;58
Mænd;Beskæftigelsesfrekvens;55-64 år;1999;3;58,2
Mænd;Beskæftigelsesfrekvens;55-64 år;1999;4;63,4
Mænd;Beskæftigelsesfrekvens;55-64 år;2000;1;65,2
Mænd;Beskæftigelsesfrekvens;55-64 år;2000;2;61,9
Mænd;Beskæftigelsesfrekvens;55-64 år;2000;3;63,9
Mænd;Beskæftigelsesfrekvens;55-64 år;2000;4;65,6
Mænd;Beskæftigelsesfrekvens;55-64 år;2001;1;62,8
Mænd;Beskæftigelsesfrekvens;55-64 år;2001;2;63
Mænd;Beskæftigelsesfrekvens;55-64 år;2001;3;65,8
Mænd;Beskæftigelsesfrekvens;55-64 år;2001;4;70
Mænd;Beskæftigelsesfrekvens;55-64 år;2002;1;65,9
Mænd;Beskæftigelsesfrekvens;55-64 år;2002;2;64,4
Mænd;Beskæftigelsesfrekvens;55-64 år;2002;3;64,8
Mænd;Beskæftigelsesfrekvens;55-64 år;2002;4;63,1
Mænd;Beskæftigelsesfrekvens;55-64 år;2003;1;66,3
Mænd;Beskæftigelsesfrekvens;55-64 år;2003;2;68,1
Mænd;Beskæftigelsesfrekvens;55-64 år;2003;3;69,8
Mænd;Beskæftigelsesfrekvens;55-64 år;2003;4;65,2
Mænd;Beskæftigelsesfrekvens;55-64 år;2004;1;64
Mænd;Beskæftigelsesfrekvens;55-64 år;2004;2;69,2
Mænd;Beskæftigelsesfrekvens;55-64 år;2004;3;68,5
Mænd;Beskæftigelsesfrekvens;55-64 år;2004;4;66,4
Mænd;Beskæftigelsesfrekvens;55-64 år;2005;1;65,6
Mænd;Beskæftigelsesfrekvens;55-64 år;2005;2;66,9
Mænd;Beskæftigelsesfrekvens;55-64 år;2005;3;65,5
Mænd;Beskæftigelsesfrekvens;55-64 år;2005;4;64,3
Mænd;Beskæftigelsesfrekvens;55-64 år;2006;1;64,8
Mænd;Beskæftigelsesfrekvens;55-64 år;2006;2;68,2
Mænd;Beskæftigelsesfrekvens;55-64 år;2006;3;67,1
Mænd;Beskæftigelsesfrekvens;55-64 år;2006;4;68,1
Mænd;Beskæftigelsesfrekvens;55-64 år;2007;1;65,7
Mænd;Beskæftigelsesfrekvens;55-64 år;2007;2;64,6
Mænd;Beskæftigelsesfrekvens;55-64 år;2007;3;65,3
Mænd;Beskæftigelsesfrekvens;55-64 år;2007;4;64,2
Mænd;Beskæftigelsesfrekvens;55-64 år;2008;1;64,2
Mænd;Beskæftigelsesfrekvens;55-64 år;2008;2;64,5
Mænd;Beskæftigelsesfrekvens;55-64 år;2008;3;66,1
Mænd;Beskæftigelsesfrekvens;55-64 år;2008;4;66,1
Mænd;Beskæftigelsesfrekvens;55-64 år;2009;1;63
Mænd;Beskæftigelsesfrekvens;55-64 år;2009;2;64,5
Mænd;Beskæftigelsesfrekvens;55-64 år;2009;3;66,6
Mænd;Beskæftigelsesfrekvens;55-64 år;2009;4;65,3
Mænd;Beskæftigelsesfrekvens;55-64 år;2010;1;62,9
Mænd;Beskæftigelsesfrekvens;55-64 år;2010;2;61,6
Mænd;Beskæftigelsesfrekvens;55-64 år;2010;3;64,6
Mænd;Beskæftigelsesfrekvens;55-64 år;2010;4;64
Mænd;Beskæftigelsesfrekvens;55-64 år;2011;1;62,5
Mænd;Beskæftigelsesfrekvens;55-64 år;2011;2;63,3
Mænd;Beskæftigelsesfrekvens;55-64 år;2011;3;64,7
Mænd;Beskæftigelsesfrekvens;55-64 år;2011;4;64,9
Mænd;Beskæftigelsesfrekvens;55-64 år;2012;1;64,7
Mænd;Beskæftigelsesfrekvens;55-64 år;2012;2;65,6
Mænd;Beskæftigelsesfrekvens;55-64 år;2012;3;65,7
Mænd;Beskæftigelsesfrekvens;55-64 år;2012;4;67,7
Mænd;Beskæftigelsesfrekvens;55-64 år;2013;1;65,6
Mænd;Beskæftigelsesfrekvens;55-64 år;2013;2;66
Mænd;Beskæftigelsesfrekvens;55-64 år;2013;3;67,1
Mænd;Beskæftigelsesfrekvens;55-64 år;2013;4;67,3
Mænd;Beskæftigelsesfrekvens;55-64 år;2014;1;66,9
Mænd;Beskæftigelsesfrekvens;55-64 år;2014;2;68,5
Mænd;Beskæftigelsesfrekvens;55-64 år;2014;3;70,4
Mænd;Beskæftigelsesfrekvens;55-64 år;2014;4;69,8
Mænd;Beskæftigelsesfrekvens;55-64 år;2015;1;69,4
Mænd;Beskæftigelsesfrekvens;55-64 år;2015;2;70,6
Mænd;Beskæftigelsesfrekvens;55-64 år;2015;3;70,1
Mænd;AKU-ledighedsprocent;15-24 år;1996;1;9,7
Mænd;AKU-ledighedsprocent;15-24 år;1996;2;8,7
Mænd;AKU-ledighedsprocent;15-24 år;1996;3;9
Mænd;AKU-ledighedsprocent;15-24 år;1996;4;6,7
Mænd;AKU-ledighedsprocent;15-24 år;1997;1;7,5
